recharge_id,date,heure,user_id,numero_compteur,zone_id,region,type_compteur,montant_brut,redevance,taxe_communale,montant_net,kwh_obtenus,cumul_mois_avant,tranche_finale,economie_baisse,canal_paiement,statut
1,2026-01-26,14:58,1,SN03598966,3,Dakar,DPP,3000,0,75.0,2925.0,35.67,0.0,1,324.95,Orange Money,succes
2,2026-01-26,18:49,2,SN07265315,7,Thiès,DPP,1000,0,25.0,975.0,11.89,0.0,1,108.32,Orange Money,succes
3,2026-01-26,12:27,3,SN09687724,9,Diourbel,PPP,3000,0,75.0,2925.0,19.84,0.0,1,324.98,Orange Money,succes
4,2026-01-26,11:29,4,SN19330177,19,Ziguinchor,DPP,3000,0,75.0,2925.0,35.67,0.0,1,324.95,Wave,succes
5,2026-01-26,19:53,5,SN09194949,9,Diourbel,DPP,3000,0,75.0,2925.0,35.67,0.0,1,324.95,Orange Money,succes
6,2026-01-26,15:36,6,SN09263001,9,Diourbel,DPP,3000,0,75.0,2925.0,35.67,0.0,1,324.95,Orange Money,succes
7,2026-02-01,17:54,6,SN09263001,9,Diourbel,DPP,9500,429,375.0,14196.0,112.95500000000001,0.0,2,0.0,Wave,succes
8,2026-02-18,16:15,6,SN09263001,9,Diourbel,DPP,5000,0,125.0,4875.0,59.45,84.47,1,541.59,Wave,succes
9,2026-01-26,10:01,7,SN13445213,13,Kaolack,DPP,5000,0,125.0,4875.0,59.45,0.0,1,541.59,Wave,succes
10,2026-02-01,13:35,7,SN13445213,13,Kaolack,DPP,9500,429,375.0,14196.0,112.95500000000001,0.0,2,0.0,Orange Money,succes
11,2026-01-26,15:37,8,SN10467887,10,Diourbel,DPP,5000,0,125.0,4875.0,59.45,0.0,1,541.59,Orange Money,succes
12,2026-02-01,17:23,8,SN10467887,10,Diourbel,DPP,9500,429,375.0,14196.0,112.95500000000001,0.0,2,0.0,Wave,succes
13,2026-01-26,14:43,9,SN11651325,11,Saint-Louis,DPP,5000,0,125.0,4875.0,59.45,0.0,1,541.59,Wave,succes
14,2026-02-01,20:07,9,SN11651325,11,Saint-Louis,DPP,9500,429,500.0,19071.0,112.95500000000001,0.0,2,0.0,Orange Money,succes
15,2026-01-26,13:15,10,SN05546676,5,Thiès,PPP,5000,0,125.0,4875.0,33.07,0.0,1,541.69,Wave,succes
16,2026-02-01,18:53,10,SN05546676,5,Thiès,PPP,9500,429,250.0,9321.0,60.27,0.0,2,0.0,Orange Money,succes
17,2026-02-09,09:08,10,SN05546676,5,Thiès,PPP,5000,0,125.0,4875.0,25.68,181.22,2,0.0,Orange Money,succes
18,2026-01-26,20:57,11,SN11811114,11,Saint-Louis,DPP,5000,0,125.0,4875.0,59.45,0.0,1,541.59,Orange Money,succes
19,2026-01-26,20:57,12,SN13274113,13,Kaolack,DPP,3000,0,75.0,2925.0,35.67,0.0,1,324.95,Wave,succes
20,2026-02-01,15:36,12,SN13274113,13,Kaolack,DPP,5000,429,125.0,4446.0,54.22,0.0,1,493.94,Orange Money,succes
